dg,cc_mean,cc_lower,cc_upper,n_samples
1535.0,0.39856801091613303,0.38806586108663704,0.4094686041863656,197
1540.0,0.3986339574364264,0.3876057121883899,0.40957483195905436,196
1541.0,0.3986339574364264,0.38752342806217466,0.4094748741407169,196
1545.0,0.3986685443591714,0.3878501070551761,0.40943454538330304,197
1547.0,0.3988824161968512,0.38808316781311475,0.40972986167658487,197
1548.0,0.3988824161968512,0.3879987274338512,0.40977642086780247,197
1555.0,0.3999145846685786,0.3887753446529145,0.4109493291798934,194
1562.0,0.3999431011581009,0.38882399009474017,0.410516296116738,193
1563.0,0.39942255065225724,0.38838003107199337,0.4102262486386926,192
1567.0,0.3995990502612206,0.3881306408157257,0.4109717516317703,187
1575.0,0.3985996793477926,0.38737327629101065,0.4099942349179062,185
1582.0,0.40018225149404857,0.38844979220046144,0.41180939889532,185
1584.0,0.40000957203577675,0.3885315827309233,0.4115449810771412,186
1587.0,0.400098954464272,0.3883499587019659,0.41161794151898995,183
1590.0,0.4004550777952599,0.3889568600311824,0.41229171526613034,183
1592.0,0.40107366092266605,0.3895647619056876,0.41254135402925596,183
1595.0,0.4007735586546496,0.38936612991797437,0.4123288831611949,184
1599.0,0.40119715241413123,0.38994273026123005,0.41271587192592796,182
1605.0,0.40053218753441433,0.3887397901436877,0.4122650824661712,181
1608.0,0.40053218753441433,0.38923940669351237,0.41193075067374024,181
1610.0,0.4003932818893394,0.38917677371145704,0.41199459988771486,180
1611.0,0.4003932818893394,0.38886488180788364,0.41202281743341024,180
1612.0,0.4003932818893394,0.38869336823350575,0.4119808429898323,180
1614.0,0.4008157452631737,0.3892919259393254,0.41208750921835463,181
1616.0,0.4015319228929482,0.38986040800190397,0.4131861815194267,180
1617.0,0.4000991375777569,0.3885563000337248,0.4114181531147216,178
1618.0,0.4002788017771222,0.3887482911397984,0.4116635310788328,177
1622.0,0.4009312444746698,0.38946892368298686,0.41240308329310554,176
1623.0,0.40178304827485906,0.39012642777554896,0.413019579965986,175
1627.0,0.402455877027441,0.39094286221848684,0.4136680987269958,173
1628.0,0.4029092043678124,0.3915496040511519,0.414390614011334,172
1629.0,0.4026326735299677,0.39094058204985893,0.4142907690110765,171
1630.0,0.4026326735299677,0.3911467259532808,0.414118675082975,171
1632.0,0.40208633412570416,0.39064738484165684,0.41386878013045725,172
1635.0,0.40208633412570416,0.3906478629110485,0.4137485348162318,172
1636.0,0.40208633412570416,0.3902327223649775,0.4135916775142671,172
1645.0,0.4021704875353381,0.39077524823256554,0.41389407523722477,171
1648.0,0.4021704875353381,0.3905352712904158,0.4138785108337265,171
1650.0,0.4021704875353381,0.39065842576775606,0.41373341493370736,171
1651.0,0.40248650522718377,0.39053716295856394,0.4139443269606221,170
1653.0,0.40184293038173624,0.3900262957983358,0.413652961330893,169
1661.0,0.40122984060914363,0.38975013908412576,0.41312790486866063,170
1669.0,0.3996514178097835,0.3881483860364146,0.41140135483684165,171
1670.0,0.3996514178097835,0.3882636666694407,0.41122993633317034,171
1671.0,0.3987658184741035,0.38712477261374595,0.4104519749634461,171
1676.0,0.39923907772364237,0.38792438491494013,0.4110048810440175,173
1678.0,0.3997759398727509,0.38843066119276926,0.41101965054030964,174
1682.0,0.3980658680447418,0.38652527237082995,0.4097078952235344,177
1684.0,0.3980019848308935,0.38633745712142126,0.40965347212127917,175
1687.0,0.3981585461939818,0.38647668043831673,0.4097718173236807,174
1688.0,0.3981585461939818,0.38669259101523407,0.409970767252689,174
1689.0,0.3981585461939818,0.38625688299432587,0.4096249683818315,174
1690.0,0.3981585461939818,0.38648023022804456,0.4097500294792836,174
1691.0,0.3981585461939818,0.38655253246882254,0.4098447762857563,174
1693.0,0.3983933550946765,0.38680749676107856,0.4102342064490065,173
1700.0,0.39749458797614373,0.3859132050121486,0.4094066200382933,176
